,NPGA/90,G/90,G,G+A/90,Pens,player,NPG/90,minutes,A,season,NPG,NPGA
53274,0.15,0.05,1,0.15,0,Diogo Figueiras,0.05,1832,2,2014-2015,1,3
53275,0.33,0.22,2,0.33,0,Alfreð Finnbogason,0.22,817,1,2014-2015,2,3
53276,0,0,0,0,0,Andreu Fontàs,0,2985,0,2014-2015,0,0
53277,0.11,0,0,0.11,0,Dimitri Foulquier,0,1697,2,2014-2015,0,2
53278,0,0,0,0,0,Edimar Fraga,0,1497,0,2014-2015,0,0
53279,0,0,0,0,0,Franco Fragapane,0,26,0,2014-2015,0,0
53280,0.12,0.09,3,0.12,0,Javi Fuego,0.09,2998,1,2014-2015,3,4
53281,0.17,0,0,0.17,0,Gabi,0,2589,5,2014-2015,0,5
53282,0,0,0,0,0,Rafa Gálvez,0,122,0,2014-2015,0,0
53283,0.75,0.75,8,0.94,2,Kévin Gameiro,0.56,960,2,2014-2015,6,8
53284,0,0,0,0,0,Jesús Gámez,0,1083,0,2014-2015,0,0
53285,0.18,0.05,1,0.18,0,Borja García,0.05,1970,3,2014-2015,1,4
53286,0.09,0.03,1,0.09,0,Dani García,0.03,2951,2,2014-2015,1,3
53287,0.26,0.26,5,0.37,2,Raúl García,0.16,1707,2,2014-2015,3,5
53288,0.26,0.07,1,0.26,0,Rubén García,0.07,1369,3,2014-2015,1,4
53289,0.24,0.2,5,0.24,0,Samu García,0.2,2232,1,2014-2015,5,6
53290,0.6,0.42,14,0.66,2,Sergio García,0.36,3015,8,2014-2015,12,20
53291,0.16,0.1,3,0.16,0,Mario Gaspar,0.1,2841,2,2014-2015,3,5
53292,0,0,0,0,0,Jaime Gavilán,0,70,0,2014-2015,0,0
53293,0,0,0,0,0,Jon Gaztañaga,0,149,0,2014-2015,0,0
53294,0.21,0.3,7,0.3,2,Nabil Ghilas,0.21,2100,0,2014-2015,5,5
53295,0.33,0.33,1,0.33,0,Carles Gil,0.33,276,0,2014-2015,1,1
53296,0,0,0,0,0,Álvaro Giménez,0,390,0,2014-2015,0,0
53297,0.09,0.09,3,0.09,0,Diego Godín,0.09,3060,0,2014-2015,3,3
53298,0.18,0.14,4,0.18,0,André Gomes,0.14,2539,1,2014-2015,4,5
53299,0,0,0,0,0,Abel Gómez Moreno,0,1253,0,2014-2015,0,0
53300,0.27,0.09,1,0.27,0,Ibai Gómez,0.09,1010,2,2014-2015,1,3
53301,0.45,0.22,4,0.45,0,Moi Gómez,0.22,1617,4,2014-2015,4,8
53302,0,0,0,0,0,Sergi Gómez,0,1286,0,2014-2015,0,0
53303,0.14,0.07,1,0.14,0,Abraham González,0.07,1264,1,2014-2015,1,2
53304,0.09,0,0,0.09,0,Adrián González,0,1906,2,2014-2015,0,2
53305,0.03,0.03,1,0.03,0,Álvaro González,0.03,3141,0,2014-2015,1,1
53306,0,0,0,0,0,Mikel González,0,1240,0,2014-2015,0,0
53307,0.11,0,0,0.11,0,Esteban Granero,0,2496,3,2014-2015,0,3
53308,0.84,0.81,22,0.84,0,Antoine Griezmann,0.81,2451,1,2014-2015,22,23
53309,0,0,0,0,0,Vicente Guaita,0,2610,0,2014-2015,0,0
53310,0.78,0.65,5,0.78,0,Javi Guerra,0.65,689,1,2014-2015,5,6
53311,0,0,0,0,0,Guillermo,0,567,0,2014-2015,0,0
53312,0.05,0,0,0.05,0,Adrián Gunino,0,1944,1,2014-2015,0,1
53313,0.06,0.06,1,0.06,0,Carlos Gurpegui,0.06,1450,0,2014-2015,1,1
53314,0.39,0.2,1,0.39,0,Munir El Haddadi,0.2,457,1,2014-2015,1,2
53315,0,0,0,0,0,Mike Havenaar,0,289,0,2014-2015,0,0
53316,0,0,0,0,0,Héctor,0,16,0,2014-2015,0,0
53317,0.39,0.31,8,0.46,2,Tomer Hemed,0.23,2326,4,2014-2015,6,10
53318,0,0,0,0,0,Uche Henry Agbo,0,7,0,2014-2015,0,0
53319,0,0,0,0,0,Iker Hernández,0,12,0,2014-2015,0,0
53320,1.14,0.72,7,1.14,0,Javier Hernández,0.72,872,4,2014-2015,7,11
53321,0,0,0,0,0,Lucas Hernández,0,4,0,2014-2015,0,0
53322,0.2,0.13,2,0.2,0,Pablo Hernández,0.13,1349,1,2014-2015,2,3
53323,0.1,0.1,1,0.1,0,Cristian Herrera,0.1,884,0,2014-2015,1,1
53324,0,0,0,0,0,Manu Herrera,0,559,0,2014-2015,0,0
53325,0,0,0,0,0,Iago Herrerín,0,360,0,2014-2015,0,0
53326,0.23,0.23,1,0.23,0,Pablo Hervías,0.23,388,0,2014-2015,1,1
53327,0.24,0.1,2,0.24,0,Fredy Hinestroza,0.1,1875,3,2014-2015,2,5
53328,0.12,0.06,1,0.12,0,Ricardo Horta,0.06,1519,1,2014-2015,1,2
53329,0,0,0,0,0,Robert Ibáñez,0,46,0,2014-2015,0,0
53330,0.51,0.42,5,0.51,0,Robert Ibáñez,0.42,1064,1,2014-2015,5,6
